Species_Name	Clade	Order	Family	Genus	Functional group	Mean body mength	Mean max body length	Myelination	Spawning mode	Trophic group	Feeding mode
Paraheterorhabdus_compactus	Copepoda	Calanoida	Heterorhabdidae	Paraheterorhabdus	FG8	2.90142857142857	3.5	0	Free	Omnivore-Carnivore	NA
Paraheterorhabdus_farrani	Copepoda	Calanoida	Heterorhabdidae	Paraheterorhabdus	FG8	3.95272727272727	4.35	0	Free	Omnivore-Carnivore	NA
Paraheterorhabdus_vipera	Copepoda	Calanoida	Heterorhabdidae	Paraheterorhabdus	FG8	2.45285714285714	2.8	0	Free	Omnivore-Carnivore	NA
Parapontella_brevicornis	Copepoda	Calanoida	Parapontellidae	Parapontella	NA	1.426	1.6	0	Free	NA	NA
Pareucalanus_attenuatus	Copepoda	Calanoida	Eucalanidae	Pareucalanus	FG6	4.62290625	7.3	1	Free	Omnivore-Herbivore	Current
Pareucalanus_sewelli	Copepoda	Calanoida	Eucalanidae	Pareucalanus	FG6	4.618	6.1	1	Free	Omnivore-Herbivore	Current
Parvocalanus_crassirostris	Copepoda	Calanoida	Paracalanidae	Parvocalanus	NA	0.540612903225806	0.82	1	Free	NA	NA
Parvocalanus_elegans	Copepoda	Calanoida	Paracalanidae	Parvocalanus	FG7	0.520777777777778	0.63	1	Free	NA	Current
Parvocalanus_latus	Copepoda	Calanoida	Paracalanidae	Parvocalanus	NA	NA	NA	1	Free	NA	Current
Phaenna_spinifera	Copepoda	Calanoida	Phaennidae	Phaenna	NA	2.1255	3.02	1	Free	NA	NA
Pleuromamma_abdominalis	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	3.1677358490566	4.5	0	Free	Omnivore	Current
Pleuromamma_antarctica	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	3.859	4.64	0	Free	Omnivore	Current
Pleuromamma_borealis	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	2.05115384615385	2.5	0	Free	Omnivore	Current
Pleuromamma_gracilis	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	1.93679245283019	2.55	0	Free	Omnivore	Current
Pleuromamma_indica	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	2.2225	2.72	0	Free	Omnivore	Current
Pleuromamma_piseki	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	1.94344827586207	2.4	0	Free	Omnivore	Current
Pleuromamma_quadrungulata	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	3.62857142857143	5	0	Free	Omnivore	Current
Pleuromamma_robusta	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	3.63264705882353	4.7	0	Free	Omnivore	Current
Pleuromamma_scutullata	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	4.01272727272727	5	0	Free	Omnivore	Current
Pleuromamma_xiphias	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	4.54	5.87	0	Free	Omnivore	Current
Pleuromamma_sp	Copepoda	Calanoida	Metridinidae	Pleuromamma	FG9	NA	NA	0	Free	Omnivore	Current
Pontella_securifer	Copepoda	Calanoida	Pontellidae	Pontella	NA	NA	NA	0	Free	Carnivore	Ambush
Pontellina_plumata	Copepoda	Calanoida	Pontellidae	Pontellina	FG8	1.68590909090909	1.94	0	Free	Carnivore	Ambush
Pseudoamallothrix_cenotelis	Copepoda	Calanoida	Scolecitrichidae	Pseudoamallothrix	NA	2.175	2.34	1	Free	NA	NA
Pseudoamallothrix_ovata	Copepoda	Calanoida	Scolecitrichidae	Pseudoamallothrix	NA	2.01761904761905	2.5	1	Free	NA	NA
Pseudocalanus_acuspes	Copepoda	Calanoida	Clausocalanidae	Pseudocalanus	FG7	1.66	1.97	1	Sac	Omnivore-Herbivore	Current
Pseudocalanus_elongatus	Copepoda	Calanoida	Clausocalanidae	Pseudocalanus	FG7	1.2441875	1.77	1	Sac	Omnivore-Herbivore	Current
Pseudocalanus_minutus	Copepoda	Calanoida	Clausocalanidae	Pseudocalanus	FG7	1.44428571428571	2.14	1	Sac	Omnivore-Herbivore	Current
Pseudocalanus_newmani	Copepoda	Calanoida	Clausocalanidae	Pseudocalanus	FG7	1.1925	1.53	1	Sac	Omnivore-Herbivore	Current
Pseudochirella_spectabilis	Copepoda	Calanoida	Aetideidae	Pseudochirella	NA	7.64777777777778	8	1	NA	NA	NA
Racovitzanus_antarcticus	Copepoda	Calanoida	Scolecitrichidae	Racovitzanus	FG3	2.23	2.48	1	Free	Omnivore-Detritivore	Current
Rhincalanus_cornutus	Copepoda	Calanoida	Rhincalanidae	Rhincalanus	FG7	3.28851851851852	4.16	1	Free	Omnivore-Herbivore	Current
Rhincalanus_gigas	Copepoda	Calanoida	Rhincalanidae	Rhincalanus	FG6	8.25	10	1	Free	Omnivore-Herbivore	Current
Rhincalanus_nasutus	Copepoda	Calanoida	Rhincalanidae	Rhincalanus	FG6	4.3912962962963	6.1	1	Free	Omnivore-Herbivore	Current
Sapphirina_angusta	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina	FG5	3.26895744680851	5	0	Sac	Carnivore	Cruise
Sapphirina_gemma	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina	FG5	2.4917619047619	3.507	0	Sac	Carnivore	Cruise
Sapphirina_nigromaculata	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina	FG5	1.94482608695652	3.79	0	Sac	Carnivore	Cruise
Sapphirina_opalina	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina	FG5	2.74425806451613	4.054	0	Sac	Carnivore	Cruise
Sapphirina_ovatolanceolata	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina	FG5	2.47969444444444	3.65	0	Sac	Carnivore	Cruise
Sapphirina_scarlata	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina	FG5	3.005	4.65	0	Sac	Carnivore	Cruise
Sapphirina_stellata	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina	FG5	2.39764705882353	4.5	0	Sac	Carnivore	Cruise
Sapphirina_sp	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina	FG5	NA	NA	0	Sac	Carnivore	Cruise
Scaphocalanus_brevicornis	Copepoda	Calanoida	Scolecitrichidae	Scaphocalanus	FG3	2.24666666666667	2.66	1	Free	Omnivore-Detritivore	Current
Scaphocalanus_brevirostris	Copepoda	Calanoida	Scolecitrichidae	Scaphocalanus	FG3	1.90666666666667	2.04	1	Free	Omnivore-Detritivore	Current
Scaphocalanus_curtus	Copepoda	Calanoida	Scolecitrichidae	Scaphocalanus	FG3	1.20495238095238	1.76	1	Free	Omnivore-Detritivore	Current
Scaphocalanus_echinatus	Copepoda	Calanoida	Scolecitrichidae	Scaphocalanus	FG3	2.13214285714286	2.56	1	Free	Omnivore-Detritivore	Current
Scaphocalanus_farrani	Copepoda	Calanoida	Scolecitrichidae	Scaphocalanus	FG3	2.58	2.92	1	Free	Omnivore-Detritivore	Current
Scaphocalanus_magnus	Copepoda	Calanoida	Scolecitrichidae	Scaphocalanus	FG3	4.62289473684211	5.6	1	Free	Omnivore-Detritivore	Current
Scaphocalanus_vervoorti	Copepoda	Calanoida	Scolecitrichidae	Scaphocalanus	FG3	1.756	2.03	1	Free	Omnivore-Detritivore	Current
Scaphocalanus_sp	Copepoda	Calanoida	Scolecitrichidae	Scaphocalanus	FG3	NA	NA	1	Free	Omnivore-Detritivore	Current
Scolecithricella_abyssalis	Copepoda	Calanoida	Scolecitrichidae	Scolecithricella	FG3	1.93777777777778	2.21	1	Free	Omnivore-Detritivore	Current
Scolecithricella_dentata	Copepoda	Calanoida	Scolecitrichidae	Scolecithricella	FG3	1.528	2.07	1	Free	Omnivore-Detritivore	Current
Scolecithricella_minor	Copepoda	Calanoida	Scolecitrichidae	Scolecithricella	FG3	1.33971428571429	1.7	1	Free	Omnivore-Detritivore	Current
Scolecithricella_nicobarica	Copepoda	Calanoida	Scolecitrichidae	Scolecithricella	FG3	1.3586	1.5	1	Free	Omnivore-Detritivore	Current
Scolecithricella_orientalis	Copepoda	Calanoida	Scolecitrichidae	Scolecithricella	NA	NA	NA	1	Free	Omnivore-Detritivore	Current
